"Refs","Value","Footprint","Qty","DNP"
"KEPR:C5","0.1nF_Ceramic","Capacitor:C_0805_2012Metric","1",""
"KEPR:J11","10141995-005RLF","Connector_PCBEdge:SODIMM-260_DDR4_H4.0-5.2_OrientationStd_Socket","1",""
"MCU_Board_STM32N6:J2","10141995-005RLF","SODIMM DDR4 EDGE 260 pins:SODIMM_DDR4_EDGE","1",""
"KEPR:C1;KEPR:C2;KEPR:C3;KEPR:C4","4.7nF_Ceramic","Capacitor:C_0805_2012Metric","4",""
"KEPR:IC1;KEPR:IC2;KEPR:IC3","ACS37041KLHBLT-010B3","APS12628LLHALTBAP","3",""
"KEPR:U4","AMS1117-1.8","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"KEPR:U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"KEPR:J22","Barrel_Jack","Barrel Jack:BarrelJack_Horizontal","1",""
"KEPR:BT1","Battery_Cell","Battery:BatteryHolder_Multicomp_BC-2001_1x2032","1",""
"KEPR:J8","Conn_01x08_Pin","","1",""
"KEPR:J7","Conn_02x08_Odd_Even","","1",""
"KEPR:J5","Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Latch12.0mm_Vertical","1",""
"KEPR:J3","Conn_02x12_Odd_Even","Connector_IDC:IDC-Header_2x12_P2.54mm_Latch9.5mm_Vertical","1",""
"KEPR:J4","Conn_02x15_Odd_Even","Connector_IDC:IDC-Header_2x15-1MP_P2.54mm_Latch_Vertical","1",""
"KEPR:J6","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1",""
"KEPR:J9;KEPR:J10","Conn_02x40_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x40_P2.54mm_Vertical","2",""
"KEPR:J16;KEPR:J23","PINHD_1x10_Male","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2",""
"KEPR:J1;KEPR:J12;KEPR:J17;KEPR:J19","PINHD_1x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","4",""
"KEPR:J13;KEPR:J24;KEPR:J30","PINHD_2x2_Male","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","3",""
"KEPR:J26","PINHD_2x3_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"KEPR:U1","REF193","REF193:SOIC127P600X175-8N","1",""
"KEPR:Brd1","SSD1306","SSD1306:128x64OLED","1",""
"KEPR:U2","STM32G484CETx","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"KEPR:PS1","TDN5-2410WISM","TDN 5WISM Series, 5 Watt:CONV_TDN5-2411WISM","1",""
"KEPR:PS2","TDN5-2411WISM","TDN 5WISM Series, 5 Watt:CONV_TDN5-2411WISM","1",""
"KEPR:PS3","TDN_5-2412WISM","TDN 5WISM Series, 5 Watt:CONV_TDN5-2411WISM","1",""
