"Refs","Value","Footprint","Qty","DNP"
"C1","4.7nF_Ceramic","Capacitor:C_0805_2012Metric","1",""
"C2","4.7nF_Ceramic","Capacitor:C_0805_2012Metric","1",""
"C3","4.7nF_Ceramic","Capacitor:C_0805_2012Metric","1",""
"C4","4.7nF_Ceramic","Capacitor:C_0805_2012Metric","1",""
"D1","BZV55B3V3","Diode_SMD:D_MiniMELF","1",""
"J1","PINHD_1x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J3","Conn_02x12_Odd_Even","Connector_IDC:IDC-Header_2x25_P2.54mm_Latch6.5mm_Vertical","1",""
"J4","Conn_02x15_Odd_Even","Connector_IDC:IDC-Header_2x15-1MP_P2.54mm_Latch_Vertical","1",""
"J5","Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Latch12.0mm_Vertical","1",""
"J6","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1",""
"J7","Conn_02x08_Odd_Even","","1",""
"J8","Conn_01x08_Pin","","1",""
"J9","Conn_02x40_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x40_P2.54mm_Vertical","1",""
"J10","Conn_02x40_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x40_P2.54mm_Vertical","1",""
"J11","10141995-005RLF","Connector_PCBEdge:SODIMM-260_DDR4_H4.0-5.2_OrientationStd_Socket","1",""
"J12","PINHD_1x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J16","PINHD_1x10_Male","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1",""
"J17","PINHD_1x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J19","PINHD_1x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J22","Barrel_Jack","Barrel Jack:BarrelJack_Horizontal","1",""
"J23","PINHD_1x10_Male","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1",""
"J24","PINHD_2x3_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J26","PINHD_2x3_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J30","PINHD_2x3_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"PS1","TDN5-2410WISM","TDN 5WISM Series, 5 Watt:CONV_TDN5-2411WISM","1",""
"PS2","TDN5-2411WISM","TDN 5WISM Series, 5 Watt:CONV_TDN5-2411WISM","1",""
"PS3","TDN_5-2412WISM","TDN 5WISM Series, 5 Watt:CONV_TDN5-2411WISM","1",""
"R1","5.6MR","Resistors SMD:RESC2012X60N","1",""
"R2","GMR320HJAAFM5L00","Shunt Rohm:RESC7142X55N","1",""
"R3","GMR320HJAAFS5L00","Shunt Rohm:RESC7142X55N","1",""
"R4","GMR320HJAAFE5L00","Shunt Rohm:RESC7142X55N","1",""
"U2","STM32G484CETx","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
